CHEESE,CHEESE PARMESAN SHREDDED,1146,0,6.39,0,0,3.41,72,0,0.0,415,0,0,0.023,0.287,0.527,37.86,0,108,0.352,23.9,0.0,0.041,25.0,8.734,0.661,17.37,27.34,5.0,1 tbsp,0,,1253,0.037,0.87,51,735,97,1696,3.19,639,122,1.4,0.105,0.0,0.0,0.0
CHEESE,CHEESE PAST PROCESS SWISS WO/DI NA PO4,1148,0,5.85,0,0,2.1,85,0,0.0,334,0,0,0.014,0.038,0.26,24.73,0,221,0.276,15.9,0.0,0.014,42.31,7.046,0.622,16.045,25.01,28.35,1 oz,18,1 cubic inch,772,0.027,0.61,29,540,216,681,3.61,808,225,1.23,0.036,0.0,0.0,0.0
CHEESE SPRD,CHEESE SPRD PAST PROCESS AMERICAN W/DI NA PO4,1150,0,5.98,0,0,8.73,55,0,0.0,290,0,0,0.02,0.131,0.686,16.41,0,0,0.431,11.3,0.0,0.048,47.65,6.219,0.624,13.327,21.23,28.35,1 oz,142,1 jar   (5 oz),562,0.033,0.33,29,875,242,1625,2.59,788,0,0.4,0.117,0.0,0.0,0.0
MILK,MILK RED FAT FLUID 2% MILKFAT W/ NONFAT MILK SOL WO/ VIT A,1152,0,0.87,0,0,5.49,8,0,0.0,56,0,0,0.002,0.101,0.339,3.95,0,16,0.194,2.6,0.0,0.045,87.71,0.065,0.009,1.232,1.98,245.0,1 cup,980,1 quart,143,0.011,0.06,15,112,182,59,0.41,75,17,0.39,0.046,1.1,0.0,0.0
MILK,MILK DRY NONFAT REG W/ VIT A,1154,0,7.93,1,0,51.98,20,169,0.0,362,0,0,0.02,0.951,3.568,36.16,0,653,1.55,27.3,51.97999954,0.415,3.16,0.2,0.03,0.499,0.77,120.0,1 cup,30,.25 cup,1257,0.041,0.32,110,968,1794,535,4.08,2179,653,4.03,0.361,6.8,0.0,0.1
CHEESE,CHEESE GOAT HARD TYPE,1156,0,3.72,91,0,2.17,105,15,0.0,452,0,0,0.252,2.4,0.41,30.52,0,478,1.19,5.5,2.170000076,0.14,29.01,8.117,0.845,24.609,35.59,28.35,1 oz,0,,895,0.627,1.88,54,729,48,346,1.59,1745,486,0.12,0.08,0.0,0.31,3.0
CHEESE,CHEESE GOAT SOFT TYPE,1159,0,1.58,54,0,0.89,46,15,0.0,268,0,0,0.1,0.43,0.68,18.52,0,283,0.38,2.8,0.889999986,0.07,60.75,4.807,0.501,14.575,21.08,28.35,1 oz,0,,140,0.732,1.9,16,256,26,368,0.92,1033,288,0.19,0.25,0.0,0.18,1.8
CHEESE SUB,CHEESE SUB MOZZARELLA,1161,0,5.27,0,0,23.67,0,14,0.0,248,0,0,0.028,0.317,0.083,11.47,0,437,0.444,19.2,23.67000008,0.026,47.36,6.243,1.738,3.711,12.22,113.0,1 cup  shredded,28,1 oz,610,0.11,0.4,41,583,455,685,1.92,1457,437,0.81,0.051,0.1,0.11,1.0
CHEESE SAU,CHEESE SAU PREP FROM RECIPE,1164,0,2.41,0,0,5.48,38,0,0.100000001,197,0,0,0.04,0.204,0.233,10.33,0,163,0.243,6.6,0.0,0.044,66.86,4.735,1.397,8.034,14.92,243.0,1 cup,30,2 tbsp,311,0.019,0.35,19,229,142,493,1.26,606,166,0.35,0.045,0.6,0.0,0.0
CHEESE,CHEESE MEXICAN QUESO ASADERO,1166,0,4.11,4,0,2.87,105,15,0.0,356,0,0,0.036,0.181,0.231,22.6,0,55,0.223,14.5,2.869999886,0.021,42.16,8.038,0.85,17.939,28.26,132.0,1 cup  diced,113,1 cup  shredded,661,0.026,0.51,26,443,86,655,3.02,190,55,1.0,0.053,0.0,0.24,2.4
CHEESE,CHEESE LOFAT CHEDDAR OR COLBY,1168,0,3.64,4,0,1.91,21,15,0.0,173,0,0,0.006,0.051,0.183,24.35,0,60,0.221,14.5,0.519999981,0.012,63.1,2.082,0.222,4.342,7.0,132.0,1 cup  diced,113,1 cup  shredded,415,0.021,0.42,16,484,66,612,1.82,207,60,0.49,0.045,0.0,0.06,0.6
